customer_name,item_name,gross_price,net_price,profit,selling_date
Ishaan,Machine Learning - 1,1900.0,600.0,1300.0,2024-01-19
Matthew,Speakers,2000.0,1200.0,800.0,2024-01-19
Emily,Advanced Python,3100.0,1800.0,1300.0,2024-01-25
Amanda,Watch,2800.0,1700.0,1100.0,2024-01-28
Hannah,Bag,2900.0,1700.0,1200.0,2024-02-09
Arjun,Earphones,3200.0,2500.0,700.0,2024-03-01
Divya,Machine Learning - 2,2000.0,500.0,1500.0,2024-03-16
Ethan,Speakers,2700.0,2000.0,700.0,2024-03-19
Lakshmi,Machine Learning - 1,1700.0,700.0,1000.0,2024-03-25
Laura,Bag,1700.0,1200.0,500.0,2024-03-31
Hannah,USB (128 GB),3400.0,3000.0,400.0,2024-03-31
Jyoti,USB (128 GB),3300.0,3000.0,300.0,2024-04-03
Kevin,Basics of Python,3200.0,2800.0,400.0,2024-04-18
Lakshmi,Earphones,2300.0,2000.0,300.0,2024-04-21
Hannah,Advanced Python,3500.0,2200.0,1300.0,2024-04-21
Olivia,USB (128 GB),2900.0,1900.0,1000.0,2024-04-27
Amanda,Advanced Python,2000.0,1400.0,600.0,2024-05-03
Laura,Headphones,2900.0,1600.0,1300.0,2024-05-15
Ananya,USB (512 GB),2000.0,1700.0,300.0,2024-06-11
Ananya,Machine Learning - 2,3000.0,1700.0,1300.0,2024-06-11
Ishaan,Earphones,2500.0,1900.0,600.0,2024-06-26
Amanda,Headphones,2600.0,1700.0,900.0,2024-08-28
Kevin,Speakers,3100.0,2400.0,700.0,2024-08-28
Ryan,Machine Learning - 1,1700.0,400.0,1300.0,2024-09-06
Priya,Basics of Python,2800.0,1500.0,1300.0,2024-09-18
Ananya,USB (512 GB),3100.0,2800.0,300.0,2024-09-24
Ishaan,Headphones,1700.0,700.0,1000.0,2024-09-24
Bhavya,USB (64 GB),2900.0,1600.0,1300.0,2024-10-03
Tyler,Headphones,3300.0,2500.0,800.0,2024-10-06
Ethan,USB (512 GB),2200.0,1300.0,900.0,2024-10-27
Lakshmi,Machine Learning - 2,2700.0,2500.0,200.0,2024-11-11
Ishaan,Machine Learning - 1,2300.0,1400.0,900.0,2024-11-23
Ryan,Bag,2600.0,2100.0,500.0,2024-12-02
Ethan,Headphones,1800.0,1500.0,300.0,2024-12-11
Jessica,Machine Learning - 2,2600.0,2400.0,200.0,2024-12-11
Matthew,USB (64 GB),2300.0,1100.0,1200.0,2024-12-29
Ethan,Headphones,2700.0,2400.0,300.0,2025-01-19
Priya,USB (64 GB),2600.0,1400.0,1200.0,2025-01-19
Kevin,Machine Learning - 2,2400.0,1500.0,900.0,2025-01-28
Matthew,Headphones,3100.0,1700.0,1400.0,2025-02-03
Isaac,Machine Learning - 1,2400.0,1600.0,800.0,2025-02-09
Kevin,Machine Learning - 2,2300.0,1700.0,600.0,2025-02-18
Jyoti,Machine Learning - 2,2400.0,1700.0,700.0,2025-02-21
Omkar,Machine Learning - 1,2400.0,1000.0,1400.0,2025-02-27
Hannah,Bag,3400.0,2700.0,700.0,2025-02-27
Bhavya,Earphones,1700.0,1200.0,500.0,2025-03-14
Lakshmi,Machine Learning - 1,3000.0,2100.0,900.0,2025-03-26
Jyoti,Bag,2400.0,2100.0,300.0,2025-03-29
Jyoti,Basics of Python,2800.0,2600.0,200.0,2025-04-19
Arjun,USB (128 GB),2400.0,2000.0,400.0,2025-04-19
Omkar,Machine Learning - 2,2600.0,2300.0,300.0,2025-04-19
Arjun,Machine Learning - 1,2000.0,1700.0,300.0,2025-05-04
Jessica,Bag,2600.0,1500.0,1100.0,2025-05-04
Manish,USB (128 GB),3100.0,2400.0,700.0,2025-05-07
Priya,Speakers,2200.0,1900.0,300.0,2025-05-19
Priya,Earphones,3400.0,2200.0,1200.0,2025-05-31
Laura,Advanced Python,2800.0,2500.0,300.0,2025-06-12
Ananya,Machine Learning - 2,1800.0,1200.0,600.0,2025-06-12
Kevin,Advanced Python,3200.0,2000.0,1200.0,2025-06-18
Bhavya,Machine Learning - 1,1700.0,200.0,1500.0,2025-06-21
Omkar,Machine Learning - 2,2900.0,2700.0,200.0,2025-06-24
Laura,Watch,3000.0,2300.0,700.0,2025-07-24
Lakshmi,USB (128 GB),3300.0,2500.0,800.0,2025-07-27
Esha,Advanced Python,3100.0,2600.0,500.0,2025-08-11
Tyler,Speakers,2600.0,2200.0,400.0,2025-08-17
Tyler,Watch,2600.0,2100.0,500.0,2025-08-23
Ryan,Basics of Python,2900.0,2800.0,100.0,2025-09-04
Omkar,USB (512 GB),2900.0,1800.0,1100.0,2025-09-16
Esha,Advanced Python,3400.0,3100.0,300.0,2025-09-22
Hannah,Basics of Python,2100.0,1000.0,1100.0,2025-09-28
Kevin,Earphones,1600.0,1100.0,500.0,2025-09-28
Bhavya,Machine Learning - 2,1700.0,600.0,1100.0,2025-10-01
Emily,USB (512 GB),3100.0,1900.0,1200.0,2025-10-04
Omkar,USB (512 GB),1800.0,1100.0,700.0,2025-10-13
Laura,Watch,3000.0,2600.0,400.0,2025-10-22
Kevin,Watch,1800.0,1600.0,200.0,2025-11-09
Esha,Watch,3400.0,2100.0,1300.0,2025-11-24
Ethan,Earphones,2800.0,2700.0,100.0,2025-11-27
Jyoti,Earphones,2500.0,1200.0,1300.0,2026-01-08
Ishaan,Machine Learning - 2,3200.0,2300.0,900.0,2026-01-11
Esha,Watch,2300.0,1700.0,600.0,2026-01-14
Amanda,Bag,2900.0,2300.0,600.0,2026-01-02
Esha,Watch,2400.0,1700.0,700.0,2026-01-29
Omkar,USB (64 GB),3400.0,3000.0,400.0,2026-02-01
Ishaan,Advanced Python,2300.0,1500.0,800.0,2026-02-28
Arjun,Machine Learning - 2,1700.0,900.0,800.0,2026-03-09
Arjun,USB (512 GB),3400.0,2200.0,1200.0,2026-03-24
Manish,Watch,1700.0,600.0,1100.0,2026-03-03
Laura,Advanced Python,2600.0,1400.0,1200.0,2026-04-05
Ethan,Speakers,2600.0,1500.0,1100.0,2026-04-23
Ananya,Headphones,3200.0,1800.0,1400.0,2026-05-02
Tyler,Speakers,2000.0,1300.0,700.0,2026-05-17
Hannah,Machine Learning - 1,1900.0,600.0,1300.0,2026-05-02
Kevin,Watch,3400.0,2600.0,800.0,2026-05-23
Tyler,Speakers,2000.0,700.0,1300.0,2026-06-01
Bhavya,Speakers,2000.0,1500.0,500.0,2026-06-04
Ryan,Machine Learning - 1,1800.0,700.0,1100.0,2026-06-13
Esha,Watch,2000.0,900.0,1100.0,2026-06-16
Isaac,USB (64 GB),3100.0,2900.0,200.0,2024-03-07
Laura,USB (128 GB),2000.0,1100.0,900.0,2024-03-16
Ryan,Earphones,3300.0,2800.0,500.0,2024-03-22
Priya,Speakers,2100.0,900.0,1200.0,2024-04-21
Bhavya,Watch,2900.0,1600.0,1300.0,2024-04-24
Isaac,Watch,3500.0,2200.0,1300.0,2024-05-15
Arjun,USB (512 GB),1900.0,1200.0,700.0,2024-06-05
Ryan,Earphones,1900.0,600.0,1300.0,2024-09-03
Ethan,Machine Learning - 2,2200.0,1100.0,1100.0,2025-01-01
Matthew,Bag,2400.0,1300.0,1100.0,2025-01-01
Isaac,Headphones,2900.0,2100.0,800.0,2025-02-21
Matthew,Watch,1900.0,1600.0,300.0,2025-02-21
Ryan,Watch,2400.0,1200.0,1200.0,2025-02-27
Ryan,Headphones,2500.0,1200.0,1300.0,2025-03-23
Lakshmi,Watch,2100.0,1900.0,200.0,2025-04-25
Manish,Advanced Python,2600.0,2100.0,500.0,2025-05-01
Amanda,Bag,2100.0,800.0,1300.0,2025-06-21
Jessica,Speakers,2500.0,1100.0,1400.0,2025-07-24
Tyler,Earphones,1800.0,500.0,1300.0,2025-08-14
Olivia,USB (64 GB),2300.0,1700.0,600.0,2025-08-23
Laura,USB (128 GB),3400.0,3100.0,300.0,2025-09-01
Ishaan,Watch,3500.0,2800.0,700.0,2026-02-04
Emily,USB (128 GB),3200.0,2000.0,1200.0,2026-04-29
